eng_Latn,ory_Orya
"Anil Kumar, the uncle of the deceased, said he joined the National Defence Academy in 2016 and came to IMA, Dehradun, in January this year. read more
","ମୃତ କ୍ୟାଡେଟ୍ଙ୍କ ଦାଦି ଅନୀଲ କୁମାର କହନ୍ତିଃ ୨୦୧୬ରେ ସେ ନେସ୍ନାଲ୍ ଡିଫେନ୍ସ୍ ଏକାଡେମିରେ ଯୋଗ ଦେଇଥିଲେ ଏବଂ ଏ ବର୍ଷ ଆଇଏମ୍ଏ ଡେରାଡୁନ୍କୁ ଆସିଥିଲେ।
"
"Born on 23 June 1936 in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's family relocated to his uncle's place in Jamshedpur before partition.
","୧୯୩୬ ଜୁନ ୨୩ରେ ପଶ୍ଚିମବଙ୍ଗର ଜଳପାଇଗୁଡିର ଉପକଣ୍ଠ ଇଲାକା ମୋୟନାଗୁରୀରେ ଜନ୍ମିତ ବାନାର୍ଜୀଙ୍କ ପରିବାର ଦେଶ ବିଭାଜନ ପୂର୍ବରୁ ତାଙ୍କ କକାଙ୍କ ସହିତ ଜାମସେଦପୁରରେ ରହୁଥିଲେ।
"
"Born on June 23, 1936 in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's family relocated to his uncle's house in Jamshedpur before partition.
","୧୯୩୬ ଜୁନ ୨୩ରେ ପଶ୍ଚିମବଙ୍ଗର ଜଳପାଇଗୁଡିର ଉପକଣ୍ଠ ଇଲାକା ମୋୟନାଗୁରୀରେ ଜନ୍ମିତ ବାନାର୍ଜୀଙ୍କ ପରିବାର ଦେଶ ବିଭାଜନ ପୂର୍ବରୁ ତାଙ୍କ କକାଙ୍କ ସହିତ ଜାମସେଦପୁରରେ ରହୁଥିଲେ।
"
"Born on June 23, 1936 in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's family relocated to his uncle's place in Jamshedpur before partition.
","୧୯୩୬ ଜୁନ ୨୩ରେ ପଶ୍ଚିମବଙ୍ଗର ଜଳପାଇଗୁଡିର ଉପକଣ୍ଠ ଇଲାକା ମୋୟନାଗୁରୀରେ ଜନ୍ମିତ ବାନାର୍ଜୀଙ୍କ ପରିବାର ଦେଶ ବିଭାଜନ ପୂର୍ବରୁ ତାଙ୍କ କକାଙ୍କ ସହିତ ଜାମସେଦପୁରରେ ରହୁଥିଲେ।
"
"Born on June 23, 1936, in Moynaguri on the outskirts of Jalpaiguri in West Bengal, Banerjee's household relocated to his uncle's place in Jamshedpur earlier than partition.
","୧୯୩୬ ଜୁନ ୨୩ରେ ପଶ୍ଚିମବଙ୍ଗର ଜଳପାଇଗୁଡିର ଉପକଣ୍ଠ ଇଲାକା ମୋୟନାଗୁରୀରେ ଜନ୍ମିତ ବାନାର୍ଜୀଙ୍କ ପରିବାର ଦେଶ ବିଭାଜନ ପୂର୍ବରୁ ତାଙ୍କ କକାଙ୍କ ସହିତ ଜାମସେଦପୁରରେ ରହୁଥିଲେ।
"
"But his uncle Ghulam Mohammed had determined to remain in Pakistan.
","କିନ୍ତୁ ତାଙ୍କ ଚାଚା ଗୁଲାମ ମୋହମ୍ମଦ ପାକିସ୍ତାନରେ ରହିବାର ନିଷ୍ପତ୍ତି ନେଇଥିଲେ।
"
"Come with me, uncle.
","ମୋ ସହ ଆସ, ମାମା (ଶାଳକ) ।
"
"Didn't you hear your uncle?
","ତୁମ ନାତୁଣିକୁ ଶୁଭିବନି ତ ?
"
"Do you remember your uncle's name?
","ତୋ ଜେଜେମାଙ୍କ ନାଁ କଣ ମନେ ପକାଉନୁ ?
"
"He claimed that his uncle, Altaf Hossain, was also killed a few days ago.
","ତାଙ୍କର ଦାଦି ଅଲ୍ତାଫ୍ ହୁସେନ୍ଙ୍କୁ ମଧ୍ୟ କିଛି ଦିନ ତଳେ ହତ୍ୟା କରାଯାଇଥିବା ସେ କହିଛନ୍ତି।
"
"He is described as the prime minister of the Kuru Kingdom and also the uncle of Pandavas and Kauravas.
","ତାଙ୍କୁ କୁରୁ ରାଜ୍ୟର ପ୍ରଧାନମନ୍ତ୍ରୀ ତଥା ପାଣ୍ଡବ ଏବଂ କୌରବଙ୍କ କକା (ପିତାଙ୍କ ଭ୍ରାତା) ଭାବରେ ବର୍ଣ୍ଣନା କରାଯାଇଛି ।
"
"He is described as the prime minister of the Kuru Kingdom and also the uncle of the Pandavas and Kauravas.
","ତାଙ୍କୁ କୁରୁ ରାଜ୍ୟର ପ୍ରଧାନମନ୍ତ୍ରୀ ତଥା ପାଣ୍ଡବ ଏବଂ କୌରବଙ୍କ କକା (ପିତାଙ୍କ ଭ୍ରାତା) ଭାବରେ ବର୍ଣ୍ଣନା କରାଯାଇଛି ।
"
"He learned woodworking from his father and uncles.
","ସେ ପିଲାଦିନରୁ ନିଜ ଜେଜେ ବାପା ଓ ବାପାଙ୍କ ଠାରୁ କାଠ କଣ୍ଢେଇ ତିଆରି କରିବା ଶିଖିଥିଲେ।
"
"He learnt the art of painting scrolls from his uncle.
","ମୁରିଲୋ ପେଣ୍ଟିଂ ପ୍ରସ୍ତୁତ କରିବାର କଳା ତାଙ୍କ ଅଙ୍କଲଙ୍କ ଠାରୁ ଶିଖିଥିଲେ ।
"
"He questioned why no action has been taken against the culprits who killed his uncle.
","ଯେଉଁମାନଙ୍କ ଅବହେଳା ପାଇଁ ବାଘର ମୃତ୍ୟୁ ହୋଇଛି ସେମାନଙ୍କ ବିରୋଧରେ କାହିଁକି କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ହେବନି ବୋଲି ସେ ପ୍ରଶ୍ନ କରିଛନ୍ତି।
"
"He was appointed the Deputy Minister of Foreign Affairs in the new government headed by his uncle JR Jayewardena and was soon promoted to the post of Minister of Youth Affairs and Employment which made him the youngest cabinet minister of Sri Lankan.
","ସେ ଜେ. ଆର ଜୟୱର୍ଦ୍ଧନେଙ୍କ ନୂତନ ସରକାରରେ ବୈଦେଶିକ ବ୍ୟାପାର ଉପମନ୍ତ୍ରୀ ଭାବରେ ନିଯୁକ୍ତ ହୋଇଥିଲେ ଏବଂ ଖୁବ୍ ଶୀଘ୍ର ଯୁବ ବ୍ୟାପାର ଏବଂ ନିଯୁକ୍ତି ମନ୍ତ୍ରୀ ପଦରେ ପଦୋନ୍ନତି ପାଇଲେ ଯାହା ଫଳରେ ସେ ଶ୍ରୀଲଙ୍କାର ସର୍ବକନିଷ୍ଠ କ୍ୟାବିନେଟ ମନ୍ତ୍ରୀ ହୋଇପରିଥିଲେ ।
"
"Her father, Inayat Khan, also happened to descend from the uncle of Tipu Sultan, the 18th c. ruler of the Kingdom of Mysore.
","ତାଙ୍କ ବାପା ଇଜରତ ଇନାୟତ ଖାନ ୧୮ଶ ଶତାବ୍ଦୀର ମୈସୁର ରାଜ୍ୟର ଶାସକ ଟିପୁ ସୁଲତାନଙ୍କ[୨] ଅଣନାତି ଥିଲେ।
"
"Her uncle, George W. Bush, was also president.
","ତାଙ୍କର ପୁଅ ଜର୍ଜ ଡବ୍ଲୁ ବୁଶ ମଧ୍ୟ ଆମେରିକାର ରାଷ୍ଟ୍ରପତି ଭାବେ ଦାୟିତ୍ୱ ତୁଲାଇଛନ୍ତି ।
"
"His brother and uncle were killed.
","ଯେଉଁଥିରେ ତାଙ୍କ ଅଙ୍କଲ ଓ ଭାଇଙ୍କର ମୃତ୍ୟୁ ହୋଇଛି ।
"
"His first leading role was in Tan-Badan which was directed by his uncle Anand.
","ତାଙ୍କ ଅଙ୍କଲ ଆନନ୍ଦଙ୍କଦ୍ୱାରା ନିର୍ଦ୍ଦେଶିତ ତନ-ବଦନରେ ସେ ପ୍ରଥମେ ମୂଖ୍ୟ ଭୂମିକାରେ ଅଭିନୟ କରିଥିଲେ।
"
"His uncle Rajesh Roshan is also a popular music director.
","ସେହିପରି ତାଙ୍କର କକେଇ ରାଜେଶ ରୋଶନ ଜଣେ ଜଣାଶୁଣା ଫିଲ୍ମ ସଂଗୀତ ନିର୍ଦ୍ଦେଶକ ।
"
"His uncle died of AIDS 15 years ago.
","୧୫ ବର୍ଷ ପୂର୍ବେ ତାଙ୍କ ସ୍ୱାମୀଙ୍କର ଏଚଆଇଭିରେ ମୃତ୍ୟୁ ହୋଇଥିଲା ।
"
"His uncle was a police officer in Mumbai.
","ମୋ ବାପା ମୁମ୍ବାଇ ପୋଲିସରେ କନ୍ଷ୍ଟେବଲ ଥିଲେ।
"
"His uncles and father worked there.
","ସେଠାରେ ତାଙ୍କର ପତି ଓ ଦିଅର କାମ କରୁଥିଲେ।
"
"I call him my uncle.
","ମୁଁ ତାକ ଚାଚୀ ବୋଲି ଡାକେ ।
"
"I called him as uncle.
","ମୁଁ ତାଙ୍କୁ ଅଙ୍କଲ ବୋଲି ଡାକୁଥିଲି।
"
"I was waiting for my uncle.
","ଆଣ୍ଟିଙ୍କ ପାଇଁ ଅପେକ୍ଷା ରହିଲା ମୋ'ର।
"
"I'll be his uncle.
","ମୁଁ ତାଙ୍କ ଜାମାତା ହେବାକୁ ଯାଉଛି ।
"
"In India there is a tradition to marry uncle's daughter.
","ଭାରତୀୟ ପରମ୍ପରା ଅନୁସାରେ ବିବାହରେ କନ୍ୟାର ପିତା କନ୍ୟାଦାନ କରିବାର ପରମ୍ପରା ରହିଛି।
"
"In the film, he will share the screen for the first time with uncle Anil Kapoor.
","ଫିଲ୍ମରେ ପ୍ରଥମ ଥର ପାଇଁ ସୋନମ ପିତା ଅନୀଲ କପୁରଙ୍କ ସହିତ ସ୍କ୍ରିନ ସେୟାର କରିବେ ।
"
"Laban was Jacob's uncle, the brother of his mother Rebecca.
","ଲାବନ ଥିଲେ ଯାକୁବର ମା' ରିବିକାର ଭାଇ।
"
"My uncle also loved me very much.
","ମୋ ବୋଉ ବି ମୋତେ ବହୁତ ଭଲପାଏ।
"
"My uncle and grandfather were artists as well.
","ସେହିପରି ଜେଜେବାପା ଏବଂ ବାପା ମଧ୍ୟ ପାଲା କଳାକାର ଥିଲେ ।
"
"My uncle had two children by his first wife and 4 by his third wife.
","ଏହି ମହିଳାଙ୍କ ପ୍ରଥମ ସ୍ୱାମୀଙ୍କ ଔରସରୁ ଦୁଇଟି ସନ୍ତାନ ଏବଂ ଦ୍ୱିତୀୟ ସ୍ୱାମୀଙ୍କ ଔରସରୁ ୪ ସନ୍ତାନ ଥିଲେ ।
"
"My uncle isn't blind.
","ମୋ ବପା ଅନ୍ଧ ନୁହେଁ
"
"My uncle killed himself in January this year.
","ଏହିବର୍ଷ ଜାନୁଆରୀ ମାସରେ ତାଙ୍କର ଭାଇ ଆତ୍ମହତ୍ୟା କରିଥିଲେ:-
"
"My uncle loved my very much when I was a child.
","ଛୋଟବେଳୁ ବାପା ମତେ ଭାରି ଭଲ ପାଉଥିଲେ।
"
"My uncle was in city.
","ମୋ ଚାଚା ଏ ସହରରେ ଥିଲେ ।
"
"My uncle was in town.
","ମୋ ଚାଚା ଏ ସହରରେ ଥିଲେ ।
"
"On the 11th day, Nakula defeated Śalya, destroying his uncle's chariot.
","ଏକାଦଶ ଦିନରେ ନକୁଳ ଶଲ୍ୟଙ୍କୁ ପରାସ୍ତ କରି ତାଙ୍କ ରଥକୁ ନଷ୍ଟ କରିଦେଲେ ।
"
"She had learned this from her husband and his uncle.
",""""""" ସେ ଏହି କାମ ତାଙ୍କ ସ୍ୱାମୀ ଓ ଶ୍ୱଶୁରଙ୍କଠାରୁ ଶିଖିଛନ୍ତି।""
"
"The incident dates back to September 2017 when the victim was in her 8th standard and was living in the house of the accused (son of her paternal uncle) since 2 years.
","ଏହି ଘଟଣା ସେପ୍ଟେମ୍ବର ୨୦୧୭ ରୁ ଆରମ୍ଭ ହୋଇଥିଲା ଯେତେବେଳେ ପୀଡିତା ଅଷ୍ଟମ ଶ୍ରେଣୀରେ ପଢ଼ୁଥିଲେ ଏବଂ ୨ ବର୍ଷ ଧରି ଅଭିଯୁକ୍ତଙ୍କ ଘରେ ରହୁଥିଲେ।
"
"The uncle has committed suicide?
","ଚିତ୍ରା ଆତ୍ମହତ୍ୟା କରିଛନ୍ତି କି?
"
"my uncle has in this town.
","ମୋ ଚାଚା ଏ ସହରରେ ଥିଲେ ।
"
"my uncle was in town.
","ମୋ ଚାଚା ଏ ସହରରେ ଥିଲେ ।
"
"uncle what are you doing?
","ମୁଁ-aunty ଆପଣ ଏ କଣ କରୁଛନ୍ତି?
"
"Police have arrested the woman's father, mother and uncle.
","ଏହା ଜାଣିବା ପରେ ପୁଲିସ ଅଜୟର ମାଆ, ଭଉଣୀ ଓ ଗାର୍ଲଫ୍ରେଣ୍ଡକୁ ଗିରଫ କରିଛି।
"
"His father and uncle were sanitation workers too.
","ମୋ ବାପା ମା’ ମଧ୍ୟ ସଫେଇ କର୍ମଚାରୀ।
"
"After the passing of her parents, she lived with her aunt and uncle.
","ପିତାମାତାଙ୍କ ମୃତ୍ୟୁ ହେବା ପରଠାରୁ ସେ ଭାଇ ଓ ଭାଉଜଙ୍କ ସହ ରହୁଥିଲେ ।
"
"Armaan’s uncle Wasim Jaffer is a former India player.
","ଭାରତୀୟ କ୍ରିକେଟ ଦଳର ପୂର୍ବତନ ଖେଳାଳି ହେଉଛନ୍ତି ୱାସିମ୍ ଜାଫର ।
"
"Armaans uncle Wasim Jaffer is a former India player.
","ଭାରତୀୟ କ୍ରିକେଟ ଦଳର ପୂର୍ବତନ ଖେଳାଳି ହେଉଛନ୍ତି ୱାସିମ୍ ଜାଫର ।
"
"The woman then came to Delhi and began living with her uncle.
","ଏହାପରେ ଅଦିତି ତାଙ୍କ ମାଆଙ୍କ ସହ ଦିଲ୍ଲୀରେ ଆସି ରହିବାକୁ ଲାଗିଲେ ।
"
"A young girl’s uncle was murdered.
","ଜଣେ ନାବାଳିକାକୁ ହତ୍ୟା କରାଯାଇଛି ।
"
"The victim’s maternal uncle alleged that since the marriage, her husband had been harassing her.
","ପୀଡିତା ମହିଳା କହିଛନ୍ତି ଯେ ବିବାହ ପରଠାରୁ ତାଙ୍କ ସ୍ୱାମୀ ତାଙ୍କୁ ହଇରାଣ କରିଆସୁଛନ୍ତି ।
"
"Both his father and uncle were DJ’s.
","ତା’ ବାପା ଓ ଜେଜେ ବାପା ଉଭୟେ ଆଇସିୟୁରେ ଥିଲେ ।
"
"He lost his mother at an early age, and was abandoned in his uncle’s home by his father.
","ବାଲ୍ୟକାଳରୁ ତାଙ୍କର ପିତାଙ୍କର ଦେହାନ୍ତ ଘଟିଥିଲା ଓ ସେ ନିଜ ମାଉସୀ ଘରକୁ ପୋଷ୍ୟପୁତ୍ର ହୋଇଯାଇଥିଲେ ।
"
"I went to my uncles house.
","ମୁଁ ବାପଘରକୁ ଯାଇଥିଲି।
"
"The police have arrested her mother, father and uncle, and are looking for her brother, who is a minor.
","ପୋଲିସ ପ୍ରେମିକା, ତାଙ୍କ ମା’ ଓ ଭାଇକୁ ହାଜତକୁ ନେଇ ପଚରାଉଚୁରା କରୁଛି।
"
"He's my uncle.
","ଆଜ ସେ ମୋର ବବାହ |
"
"The accused shot the victim using his uncle's gun.
","ଅଭିଯୁକ୍ତ ଜଣକ ନିଜ ବାପାଙ୍କ ବନ୍ଧୁକ ବ୍ୟବହାର କରି ଲୁଟ୍‌ କରିଥିଲେ ।
"
"My mum and my uncle.
","ପାଖରେ ମୋ ବୋଉ ଏବଂ ମୋ ଶ୍ଵଶୁର ।
"
"An uncle shot his wife.
","ସ୍ତ୍ରୀକୁ ପିଟିପିଟି ହତ୍ୟା କଲା ସ୍ବାମୀ।
"
"Grandparents, parents, uncles, aunts, and children all lived together.
","ପରିବାରର ବାପା, ମା, ପିଲା ଛୁଆ, ଭାଇ, ଭଉଣୀ ସମସ୍ତେ ଏକାଠି ଖାଆନ୍ତି ।
"
"Dad and my uncle had been there with her.
","ତାଙ୍କ ସାଙ୍ଗରେ ଥିଲେ ତାଙ୍କ ବାପା ଓ ମାଆ ।
"
"After the raid, the police arrested the boy's father and uncle.
","ଏହା ପରେ ପୋଲିସ ତଦନ୍ତ କରି ମୃତକଙ୍କ ବାପ ଏବଂ ବଡ଼ ଭାଇକୁ ଗିରଫ କରିଛି ।
"
"An uncle, a husband, a brother, a son and a father.
","ଘର ଭିତରେ ଶାଶୁ , ବୋହୁ , ପୁଅ , ଝିଅ ଆଉ ନାତି ନତୁଣୀ ।
"
